List	Display	POS	Source Entry ID	Hebrew source	A2 definition or synonyms	English example	Hebrew example	Record sense (English)	Record sense (Hebrew)	Repeated entry	Same-entry record IDs	Sense scope
A	more or less	Phrase	A3-040	פחות או יותר	almost or approximately	The work is more or less complete.	העבודה הושלמה פחות או יותר.	almost or approximately	פחות או יותר	FALSE		single-entry
A	must	Verb	A3-018	חייב; מוכרח	have to do something or show that something is very likely	You must wear a seat belt.	עליכם לחגור חגורת בטיחות.	have to do something or show that something is very likely	חייב; מוכרח	FALSE		single-entry
A	naturally	Adverb	A1-003	בטבעיות; בצורה טבעית; כַּמּוּבָן	as expected; in a normal way	Naturally, her parents were worried.	מטבע הדברים, הוריה היו מודאגים.	as expected; in a normal way	בטבעיות; בצורה טבעית; כַּמּוּבָן	FALSE		single-entry
A	nature	Noun	A3-016	טֶבַע	the basic character or type of something	We discussed the nature of the problem.	דנו במהות הבעיה.	the basic character or type of something	טֶבַע	FALSE		single-entry
A	necessarily	Adverb	A2-033	בהכרח	as a necessary result; always	A high price does not necessarily mean good quality.	מחיר גבוה אינו מעיד בהכרח על איכות טובה.	as a necessary result; always	בהכרח	FALSE		single-entry
A	nevertheless	Adverb	A3-029	למרות זאת; אף על פי כן	despite what was just said	The task was difficult; nevertheless, we completed it.	המשימה הייתה קשה; למרות זאת, השלמנו אותה.	despite what was just said	למרות זאת; אף על פי כן	FALSE		single-entry
A	not at all	Phrase	A3-022	בכלל לא	in no way or by no amount	I am not at all worried about the test.	אני בכלל לא מודאג מהמבחן.	in no way or by no amount	בכלל לא	FALSE		single-entry
A	not only	Phrase	A3-073	לא רק	used to add another important fact	She is not only clever but also very kind.	היא לא רק חכמה אלא גם טובת לב.	used to add another important fact	לא רק	FALSE		single-entry
A	notice	Noun	A1-019	הַבְחָנָה; שִׂימַת לֵב; הוֹדָעָה	a written message or advance warning	The school posted a notice about the trip.	בית הספר פרסם הודעה על הטיול.	a written message or advance warning	הַבְחָנָה; שִׂימַת לֵב; הוֹדָעָה	FALSE		single-entry
A	objective	Noun	A2-047	מַטָּרָה; יַעַד; תַּכְלִית	an aim or purpose	Our main objective is to improve reading skills.	המטרה העיקרית שלנו היא לשפר את מיומנויות הקריאה.	an aim or purpose	מַטָּרָה; יַעַד; תַּכְלִית	FALSE		single-entry
A	occasional	Adjective	A1-007	מִקְרִי; אַקְרָאִי; מִזְדַּמֵּן	happening sometimes but not often	We have occasional meetings after school.	יש לנו פגישות מדי פעם אחרי הלימודים.	happening sometimes but not often	מִקְרִי; אַקְרָאִי; מִזְדַּמֵּן	FALSE		single-entry
A	official	Adjective	A2-035	רִשְׁמִי	approved by a person or organization in authority	Check the official website for details.	בדקו את האתר הרשמי לקבלת פרטים.	approved by a person or organization in authority	רִשְׁמִי	FALSE		single-entry
A	on the one hand ... on the other hand	Phrase	A1-050	מצד אחד... מצד שני	used to compare two different sides of a situation	On the one hand, it pays well, but it is far.	מצד אחד, השכר טוב, אבל המקום רחוק.	used to compare two different sides of a situation	מצד אחד... מצד שני	FALSE		single-entry
A	once	Conjunction	A2-055	ברגע ש־; לאחר ש־	as soon as something has happened	Once you finish, check your answers.	לאחר שתסיימו, בדקו את תשובותיכם.	as soon as something has happened	ברגע ש־; לאחר ש־	FALSE		single-entry
A	others	Pronoun	A2-067	אחרים; אחרות	other people or things that were not already named	Some students agreed, but others did not.	חלק מהתלמידים הסכימו, אך אחרים לא.	other people or things that were not already named	אחרים; אחרות	FALSE		single-entry
A	otherwise	Adverb	A2-036	אחרת; באופן אחר	used to show what happens if something is not done	Leave now; otherwise, you will miss the bus.	צאו עכשיו; אחרת תחמיצו את האוטובוס.	used to show what happens if something is not done	אחרת; באופן אחר	TRUE	A2-007	record-specific
A	otherwise	Conjunction	A2-007	אחרת; אם לא	used to show a different result if something is not done	Hurry, otherwise we will be late.	הזדרזו, אחרת נאחר.	used to show a different result if something is not done	אחרת; אם לא	TRUE	A2-036	record-specific
A	out of date	Phrase	A2-015	מיושן; לא מעודכן	too old to be useful or correct	This map is out of date.	המפה הזאת אינה מעודכנת.	too old to be useful or correct	מיושן; לא מעודכן	FALSE		single-entry
A	participate	Verb	A2-040	להשתתף; לקחת חלק	take part	All students may participate in the discussion.	כל התלמידים רשאים להשתתף בדיון.	take part	להשתתף; לקחת חלק	FALSE		single-entry
A	particular	Adjective	A1-042	מסוים; מיוחד; ספציפי	specific; special	I am looking for a particular book.	אני מחפש ספר מסוים.	specific; special	מסוים; מיוחד; ספציפי	FALSE		single-entry
A	past	Adjective	A3-055	קודם; מן העבר	belonging to an earlier time	Past experience can help us decide.	ניסיון מן העבר יכול לעזור לנו להחליט.	belonging to an earlier time	קודם; מן העבר	FALSE		single-entry
A	perform	Verb	A1-052	בִּצֵּעַ; מִלֵּא; מִמֵּשׁ	do an action or entertain an audience	The band will perform tonight.	הלהקה תופיע הערב.	do an action or entertain an audience	בִּצֵּעַ; מִלֵּא; מִמֵּשׁ	FALSE		single-entry
A	personality	Noun	A2-010	אִישִׁיּוּת	the qualities that make a person behave in a certain way	She has a friendly personality.	יש לה אישיות ידידותית.	the qualities that make a person behave in a certain way	אִישִׁיּוּת	FALSE		single-entry
A	personally	Adverb	A3-069	אִישִׁית; בְּאֹפֶן אִישִׁי	in your own opinion; by yourself	Personally, I prefer the first plan.	באופן אישי, התוכנית הראשונה עדיפה בעיניי.	in your own opinion; by yourself	אִישִׁית; בְּאֹפֶן אִישִׁי	FALSE		single-entry
A	planet	Noun	A2-061	פְּלָנֶטָה; כּוֹכַב לֶכֶת	a large round object moving around a star	Earth is the third planet from the sun.	כדור הארץ הוא כוכב הלכת השלישי מהשמש.	a large round object moving around a star	פְּלָנֶטָה; כּוֹכַב לֶכֶת	FALSE		single-entry
A	planning	Noun	A1-066	תִּכְנוּן	the activity of deciding how to do something	Careful planning made the event successful.	תכנון קפדני תרם להצלחת האירוע.	the activity of deciding how to do something	תִּכְנוּן	FALSE		single-entry
A	plant	Verb	A1-026	לשתול	put a seed or young tree in the ground	We planted a tree in the school yard.	שתלנו עץ בחצר בית הספר.	put a seed or young tree in the ground	לשתול	FALSE		single-entry
A	point of view	Phrase	A2-037	נקודת מבט	a way of thinking about or seeing something	From my point of view, the rule is fair.	מנקודת המבט שלי, הכלל הוגן.	a way of thinking about or seeing something	נקודת מבט	FALSE		single-entry
A	policy	Noun	A2-030	מדיניות; כלל רשמי	an official plan or rule	The school has a clear phone policy.	לבית הספר יש מדיניות ברורה בנוגע לטלפונים.	an official plan or rule	מדיניות; כלל רשמי	FALSE		single-entry
A	pollution	Noun	A3-061	זִהוּם	harmful material in air, water or land	Traffic causes air pollution.	התנועה בכבישים גורמת לזיהום אוויר.	harmful material in air, water or land	זִהוּם	FALSE		single-entry
A	popular	Adjective	A1-020	פּוֹפּוּלָרִי; אָהוּד; מְפֻרְסָם	liked by many people; common	This game is popular with teenagers.	המשחק הזה פופולרי בקרב בני נוער.	liked by many people; common	פּוֹפּוּלָרִי; אָהוּד; מְפֻרְסָם	FALSE		single-entry
A	population	Noun	A2-078	אֻכְלוּסִיָּה	all the people living in an area	The city’s population is growing.	אוכלוסיית העיר גדלה.	all the people living in an area	אֻכְלוּסִיָּה	FALSE		single-entry
A	prevent	Verb	A3-017	מָנַע; עִכֵּב	stop something from happening	Seat belts help prevent injuries.	חגורות בטיחות עוזרות למנוע פציעות.	stop something from happening	מָנַע; עִכֵּב	FALSE		single-entry
A	priority	Noun	A1-037	עֲדִיפוּת; זְכוּת קְדִימָה	something more important than other things	Student safety is our first priority.	בטיחות התלמידים היא העדיפות הראשונה שלנו.	something more important than other things	עֲדִיפוּת; זְכוּת קְדִימָה	FALSE		single-entry
A	private	Adjective	A3-039	פְּרָטִי	not public; belonging to one person or company	This is a private conversation.	זוהי שיחה פרטית.	not public; belonging to one person or company	פְּרָטִי	FALSE		single-entry
A	probable	Adjective	A3-063	סָבִיר; מִסְתַּבֵּר; הֶגְיוֹנִי	likely to be true or happen	The probable cause was a broken wire.	הגורם הסביר היה חוט קרוע.	likely to be true or happen	סָבִיר; מִסְתַּבֵּר; הֶגְיוֹנִי	FALSE		single-entry
A	produce	Verb	A2-043	יִצֵּר; הֵפִיק; הוֹלִיד	make or create	The factory produces medical equipment.	המפעל מייצר ציוד רפואי.	make or create	יִצֵּר; הֵפִיק; הוֹלִיד	FALSE		single-entry
A	profession	Noun	A2-076	מִקְצוֹעַ; מִשְׁלַח יָד; פְּרוֹפֶסְיָה	a job that needs special training	Teaching is a demanding profession.	הוראה היא מקצוע תובעני.	a job that needs special training	מִקְצוֹעַ; מִשְׁלַח יָד; פְּרוֹפֶסְיָה	FALSE		single-entry
A	professor	Noun	A3-049	פְּרוֹפֶסוֹר	a senior teacher at a university	The professor answered the student’s question.	הפרופסור השיב על שאלת התלמיד.	a senior teacher at a university	פְּרוֹפֶסוֹר	FALSE		single-entry
A	proof	Noun	A1-001	הוכחה; ראיה	information showing that something is true	The photo provided proof of the damage.	התמונה סיפקה הוכחה לנזק.	information showing that something is true	הוכחה; ראיה	FALSE		single-entry
A	proposed	Adjective	A3-036	מוצע	suggested for people to consider	The proposed change will be discussed tomorrow.	השינוי המוצע יידון מחר.	suggested for people to consider	מוצע	FALSE		single-entry
A	protest	Noun	A2-079	מְחָאָה; הַתְרָסָה	a public show of strong disagreement	Hundreds joined the peaceful protest.	מאות הצטרפו למחאה לא אלימה.	a public show of strong disagreement	מְחָאָה; הַתְרָסָה	TRUE	A1-067	record-specific
A	protest	Verb	A1-067	מָחָה; הִתְרִיס; הִתְקוֹמֵם	show strong disagreement	Residents protested against the plan.	התושבים מחו נגד התוכנית.	show strong disagreement	מָחָה; הִתְרִיס; הִתְקוֹמֵם	TRUE	A2-079	record-specific
A	provided that	Phrase	A3-060	בתנאי ש־	only if a particular condition is met	You can borrow the bike provided that you return it today.	אתם יכולים לשאול את האופניים בתנאי שתחזירו אותם היום.	only if a particular condition is met	בתנאי ש־	FALSE		single-entry
A	psychology	Noun	A2-039	פְּסִיכוֹלוֹגְיָה	the study of the mind and behavior	She plans to study psychology.	היא מתכננת ללמוד פסיכולוגיה.	the study of the mind and behavior	פְּסִיכוֹלוֹגְיָה	FALSE		single-entry
A	public	Adjective	A1-045	צִבּוּרִי; כְּלָלִי	open to everyone; connected with government	The city opened a new public park.	העיר פתחה פארק ציבורי חדש.	open to everyone; connected with government	צִבּוּרִי; כְּלָלִי	FALSE		single-entry
A	purpose	Noun	A1-023	מַטָּרָה; תַּכְלִית; כַּוָּנָה	the reason for doing something	The purpose of the meeting is to share information.	מטרת הפגישה היא לשתף מידע.	the reason for doing something	מַטָּרָה; תַּכְלִית; כַּוָּנָה	FALSE		single-entry
A	quality	Noun	A1-069	אֵיכוּת; טִיב; תְּכוּנָה	how good something is; a feature	The product is known for its high quality.	המוצר ידוע באיכותו הגבוהה.	how good something is; a feature	אֵיכוּת; טִיב; תְּכוּנָה	FALSE		single-entry
A	question	Noun	A3-013	שְׁאֵלָה	something asked; a problem to discuss	The final question was difficult.	השאלה האחרונה הייתה קשה.	something asked; a problem to discuss	שְׁאֵלָה	TRUE	A1-018	record-specific
A	question	Verb	A1-018	תִּשְׁאֵל; פִּקְפֵּק; הֵטִיל סָפֵק	ask someone for information; doubt	Police questioned the driver.	המשטרה חקרה את הנהג.	ask someone for information; doubt	תִּשְׁאֵל; פִּקְפֵּק; הֵטִיל סָפֵק	TRUE	A3-013	record-specific
A	questionnaire	Noun	A1-051	שְׁאֵלוֹן	a written set of questions	Students completed a short questionnaire.	התלמידים מילאו שאלון קצר.	a written set of questions	שְׁאֵלוֹן	FALSE		single-entry
A	react	Verb	A3-066	הֵגִיב; עָנָה	respond to something	How did she react to the news?	איך היא הגיבה לחדשות?	respond to something	הֵגִיב; עָנָה	FALSE		single-entry
A	reasonable	Adjective	A1-028	הֶגְיוֹנִי; סָבִיר; מִתְקַבֵּל עַל הַדַּעַת	fair, sensible or not too expensive	The shop offered a reasonable price.	החנות הציעה מחיר סביר.	fair, sensible or not too expensive	הֶגְיוֹנִי; סָבִיר; מִתְקַבֵּל עַל הַדַּעַת	FALSE		single-entry
A	recommend	Verb	A1-010	להמליץ	say that something is good or suitable	I recommend this book to beginners.	אני ממליץ על הספר הזה למתחילים.	say that something is good or suitable	להמליץ	FALSE		single-entry
A	recycle	Verb	A3-078	מִחְזֵר	process used material so it can be used again	Please recycle the empty bottles.	נא למחזר את הבקבוקים הריקים.	process used material so it can be used again	מִחְזֵר	FALSE		single-entry
A	regard	Noun	A3-072	כבוד; הערכה; התייחסות	respect or attention	She has great regard for her teacher.	היא רוחשת כבוד רב למורה שלה.	respect or attention	כבוד; הערכה; התייחסות	TRUE	A3-042	record-specific
A	regard	Verb	A3-042	לראות כ־; להחשיב; להתייחס	consider or think of in a certain way	Many people regard exercise as important.	אנשים רבים רואים בפעילות גופנית דבר חשוב.	consider or think of in a certain way	לראות כ־; להחשיב; להתייחס	TRUE	A3-072	record-specific
A	region	Noun	A1-043	אֵזוֹר; תְּחוּם	a large area of a country or the world	The northern region receives more rain.	באזור הצפוני יורד יותר גשם.	a large area of a country or the world	אֵזוֹר; תְּחוּם	FALSE		single-entry
A	regular	Adjective	A3-052	רָגִיל; רֶגוּלָרִי; סָדִיר	normal; happening at fixed times	Regular exercise is good for your health.	פעילות גופנית סדירה טובה לבריאותכם.	normal; happening at fixed times	רָגִיל; רֶגוּלָרִי; סָדִיר	FALSE		single-entry
A	relevant	Adjective	A1-048	רֶלֶוַנְטִי; קָשׁוּר; שַׁיָּךְ	connected with the subject	Include only relevant information.	כללו רק מידע רלוונטי.	connected with the subject	רֶלֶוַנְטִי; קָשׁוּר; שַׁיָּךְ	FALSE		single-entry
A	reliable	Adjective	A1-063	אָמִין; מְהֵימָן	able to be trusted or depended on	We need a reliable source of information.	אנחנו זקוקים למקור מידע אמין.	able to be trusted or depended on	אָמִין; מְהֵימָן	FALSE		single-entry
A	rely on/upon	Phrase	A2-027	להסתמך על; לסמוך על	depend on or trust someone or something	You can rely on her to keep her promise.	אתם יכולים לסמוך עליה שתקיים את הבטחתה.	depend on or trust someone or something	להסתמך על; לסמוך על	FALSE		single-entry
A	request	Noun	A3-065	בַּקָּשָׁה	a polite or official ask for something	The manager accepted our request.	המנהל נענה לבקשתנו.	a polite or official ask for something	בַּקָּשָׁה	TRUE	A1-062	record-specific
A	request	Verb	A1-062	בִּקֵּשׁ	ask for something politely or officially	You may request extra time.	אתם רשאים לבקש זמן נוסף.	ask for something politely or officially	בִּקֵּשׁ	TRUE	A3-065	record-specific
A	research	Noun	A2-011	מֶחְקָר; חֲקִירָה	careful study to discover facts	The project is based on scientific research.	הפרויקט מבוסס על מחקר מדעי.	careful study to discover facts	מֶחְקָר; חֲקִירָה	TRUE	A1-071	record-specific
A	research	Verb	A1-071	חָקַר	study carefully to discover facts	Students researched the history of the town.	התלמידים חקרו את תולדות העיירה.	study carefully to discover facts	חָקַר	TRUE	A2-011	record-specific
A	result	Noun	A3-010	תּוֹצָאָה; פְּרִי	what happens because of an action or event	The result of the test was encouraging.	תוצאת המבחן הייתה מעודדת.	what happens because of an action or event	תּוֹצָאָה; פְּרִי	FALSE		single-entry
A	review	Noun	A2-026	סְקִירָה; בִּקֹּרֶת	an examination or written opinion	I read a positive review of the film.	קראתי ביקורת חיובית על הסרט.	an examination or written opinion	סְקִירָה; בִּקֹּרֶת	TRUE	A2-057	record-specific
A	review	Verb	A2-057	סָקַר; בָּחַן; שָׁקַל מחדש	examine again; give an opinion	Please review your answers before submitting.	נא לעבור על תשובותיכם לפני ההגשה.	examine again; give an opinion	סָקַר; בָּחַן; שָׁקַל מחדש	TRUE	A2-026	record-specific
A	revise	Verb	A1-033	הִגִּיהַּ; תִּקֵּן; שִׁפֵּר	study again or make changes	I need to revise for tomorrow’s test.	אני צריך לחזור על החומר למבחן של מחר.	study again or make changes	הִגִּיהַּ; תִּקֵּן; שִׁפֵּר	FALSE		single-entry
A	risk	Noun	A1-025	סִכּוּן; סַכָּנָה	a chance that something harmful may happen	Driving too fast is a serious risk.	נהיגה מהירה מדי היא סיכון רציני.	a chance that something harmful may happen	סִכּוּן; סַכָּנָה	TRUE	A3-008	record-specific
A	risk	Verb	A3-008	סִכֵּן	do something that may cause harm or loss	Do not risk your safety.	אל תסכנו את בטיחותכם.	do something that may cause harm or loss	סִכֵּן	TRUE	A1-025	record-specific
A	run out of	Phrase	A1-005	להיגמר; לא להישאר עם	use all of something so that none remains	We ran out of milk this morning.	נגמר לנו החלב הבוקר.	use all of something so that none remains	להיגמר; לא להישאר עם	FALSE		single-entry
A	rural	Adjective	A3-027	כַּפְרִי	connected with the countryside	They live in a rural area.	הם גרים באזור כפרי.	connected with the countryside	כַּפְרִי	FALSE		single-entry
A	salary	Noun	A3-076	שָׂכָר; מַשְׂכֹּרֶת	money paid regularly for work	Her monthly salary increased.	המשכורת החודשית שלה עלתה.	money paid regularly for work	שָׂכָר; מַשְׂכֹּרֶת	FALSE		single-entry
A	sample	Noun	A2-075	דֻּגְמָה; דְּגִימָה; מִדְגָּם	a small part used to represent the whole	The doctor tested a blood sample.	הרופא בדק דגימת דם.	a small part used to represent the whole	דֻּגְמָה; דְּגִימָה; מִדְגָּם	FALSE		single-entry
A	seldom	Adverb	A2-012	לְעִתִּים רְחוֹקוֹת	not often	We seldom watch television during dinner.	אנחנו צופים בטלוויזיה לעיתים רחוקות בזמן ארוחת הערב.	not often	לְעִתִּים רְחוֹקוֹת	FALSE		single-entry
A	sense	Noun	A2-020	חוש; תחושה; משמעות	good judgment; a feeling or meaning	It makes sense to check the weather first.	הגיוני לבדוק תחילה את מזג האוויר.	good judgment; a feeling or meaning	חוש; תחושה; משמעות	FALSE		single-entry
A	set up	Phrase	A1-014	להקים; לארגן	start or arrange something for use	The students set up a new reading club.	התלמידים הקימו מועדון קריאה חדש.	start or arrange something for use	להקים; לארגן	FALSE		single-entry
A	significant	Adjective	A2-006	מַשְׁמָעוּתִי; בַּעַל מַשְׁמָעוּת; חָשׁוּב	important or large enough to notice	There was a significant improvement in her score.	חל שיפור משמעותי בציון שלה.	important or large enough to notice	מַשְׁמָעוּתִי; בַּעַל מַשְׁמָעוּת; חָשׁוּב	FALSE		single-entry
A	skilled	Adjective	A1-030	מְיֻמָּן; מְנֻסֶּה	having training and ability	A skilled worker repaired the machine.	עובד מיומן תיקן את המכונה.	having training and ability	מְיֻמָּן; מְנֻסֶּה	FALSE		single-entry
A	slight	Adjective	A1-073	מוּעָט; דַּל; זָעוּם	small and not serious	There was a slight delay.	היה עיכוב קל.	small and not serious	מוּעָט; דַּל; זָעוּם	FALSE		single-entry
A	specialist	Noun	A1-053	מֻמְחֶה; סְפֶּצְיָאלִיסְט	a person with expert knowledge in one area	The doctor sent her to a heart specialist.	הרופא הפנה אותה למומחה ללב.	a person with expert knowledge in one area	מֻמְחֶה; סְפֶּצְיָאלִיסְט	FALSE		single-entry
A	specific	Adjective	A2-034	מֻגְדָּר; מְסֻיָּם; מְיֻחָד	clear and exact; particular	Please give a specific example.	נא לתת דוגמה מסוימת.	clear and exact; particular	מֻגְדָּר; מְסֻיָּם; מְיֻחָד	FALSE		single-entry
A	still	Adverb	A2-068	עֲדַיִן; אַף-עַל-פִּי-כֵן; לַמְרוֹת זֹאת	continuing until now; even so	It was late, but she was still working.	השעה הייתה מאוחרת, אבל היא עדיין עבדה.	continuing until now; even so	עֲדַיִן; אַף-עַל-פִּי-כֵן; לַמְרוֹת זֹאת	FALSE		single-entry
A	structure	Noun	A1-032	מִבְנֶה; סְטְרוּקְטוּרָה	the way parts are arranged	The essay has a clear structure.	לחיבור יש מבנה ברור.	the way parts are arranged	מִבְנֶה; סְטְרוּקְטוּרָה	FALSE		single-entry
A	study	Noun	A2-050	לִמּוּד; לְמִידָה; מֶחְקָר	learning or a piece of research	The study found that sleep improves memory.	המחקר מצא ששינה משפרת את הזיכרון.	learning or a piece of research	לִמּוּד; לְמִידָה; מֶחְקָר	TRUE	A2-056	record-specific
A	study	Verb	A2-056	לָמַד; חָקַר; עִיֵּן	learn about or examine carefully	She studies English every evening.	היא לומדת אנגלית מדי ערב.	learn about or examine carefully	לָמַד; חָקַר; עִיֵּן	TRUE	A2-050	record-specific
A	supposed	Adjective	A3-051	אמור; לכאורה; משוער	believed or expected to be true	The supposed expert gave poor advice.	המומחה לכאורה נתן עצה גרועה.	believed or expected to be true	אמור; לכאורה; משוער	FALSE		single-entry
A	surface	Noun	A2-009	פְּנֵי הַשֶּׁטַח; מִשְׁטָח; שֶׁטַח	the outside or top layer	The table has a smooth surface.	לשולחן יש משטח חלק.	the outside or top layer	פְּנֵי הַשֶּׁטַח; מִשְׁטָח; שֶׁטַח	FALSE		single-entry
A	take advantage of	Phrase	A1-006	לנצל הזדמנות או יתרון	use an opportunity in a helpful way	We took advantage of the sunny day and went outside.	ניצלנו את היום השמשי ויצאנו החוצה.	use an opportunity in a helpful way	לנצל הזדמנות או יתרון	FALSE		single-entry
A	thanks to	Phrase	A1-064	הודות ל־	because of someone or something helpful	Thanks to your help, we finished on time.	הודות לעזרתכם, סיימנו בזמן.	because of someone or something helpful	הודות ל־	FALSE		single-entry
A	theory	Noun	A2-045	תֵּאוֹרְיָה; מערכת הנחות	an idea that explains how or why something happens	The evidence supports the theory.	הראיות תומכות בתאוריה.	an idea that explains how or why something happens	תֵּאוֹרְיָה; מערכת הנחות	FALSE		single-entry
A	throw away/out	Phrase	A2-053	לזרוק; להשליך	get rid of something that is not wanted	Do not throw away the empty bottle; recycle it.	אל תזרקו את הבקבוק הריק; מחזרו אותו.	get rid of something that is not wanted	לזרוק; להשליך	FALSE		single-entry
A	transport	Noun	A2-065	תחבורה; הובלה	a system for moving people or goods	Public transport is cheaper than driving.	תחבורה ציבורית זולה יותר מנהיגה.	a system for moving people or goods	תחבורה; הובלה	TRUE	A1-024	record-specific
A	transport	Verb	A1-024	להעביר; להוביל	carry people or goods to another place	Trucks transport food across the country.	משאיות מובילות מזון ברחבי המדינה.	carry people or goods to another place	להעביר; להוביל	TRUE	A2-065	record-specific
A	trash	Noun	A2-060	אשפה; זבל	things that are thrown away	Put the trash in the bin.	שימו את האשפה בפח.	things that are thrown away	אשפה; זבל	FALSE		single-entry
A	treatment	Noun	A2-052	טיפול; יחס	medical care; the way someone is dealt with	The patient received immediate treatment.	המטופל קיבל טיפול מיידי.	medical care; the way someone is dealt with	טיפול; יחס	FALSE		single-entry
A	unfortunately	Adverb	A3-019	לְמַרְבֵּה הַצַּעַר; לרוע המזל	used to say that something is sad or disappointing	Unfortunately, the event was canceled.	למרבה הצער, האירוע בוטל.	used to say that something is sad or disappointing	לְמַרְבֵּה הַצַּעַר; לרוע המזל	FALSE		single-entry
A	unhealthy	Adjective	A2-021	שמזיק לבריאות; שאינו בריא	not good for the body or mind	Too much sugar is unhealthy.	יותר מדי סוכר אינו בריא.	not good for the body or mind	שמזיק לבריאות; שאינו בריא	FALSE		single-entry
A	unique	Adjective	A1-011	יִחוּדִי; יָחִיד בְּמִינוֹ; יָחִיד וּמְיֻחָד	the only one of its kind; very unusual	Each person has a unique voice.	לכל אדם יש קול ייחודי.	the only one of its kind; very unusual	יִחוּדִי; יָחִיד בְּמִינוֹ; יָחִיד וּמְיֻחָד	FALSE		single-entry
A	united	Adjective	A3-062	מְאֻחָד; מְלֻכָּד	joined together for the same purpose	The community remained united.	הקהילה נותרה מאוחדת.	joined together for the same purpose	מְאֻחָד; מְלֻכָּד	FALSE		single-entry
A	universe	Noun	A3-033	יְקוּם; עוֹלָם	all space, matter and energy	Scientists study the age of the universe.	מדענים חוקרים את גילו של היקום.	all space, matter and energy	יְקוּם; עוֹלָם	FALSE		single-entry
A	unknown	Adjective	A2-080	בִּלְתִּי יָדוּעַ	not known	The cause of the problem is unknown.	הגורם לבעיה אינו ידוע.	not known	בִּלְתִּי יָדוּעַ	FALSE		single-entry
A	unlike	Preposition	A3-053	בניגוד ל־; שלא כמו	different from another person or thing	Unlike his friends, he enjoys cooking.	שלא כמו חבריו, הוא נהנה לבשל.	different from another person or thing	בניגוד ל־; שלא כמו	FALSE		single-entry
A	unlikely	Adjective	A1-060	בִּלְתִּי סָבִיר	not expected to happen or be true	Rain is unlikely today.	לא סביר שירד גשם היום.	not expected to happen or be true	בִּלְתִּי סָבִיר	FALSE		single-entry
A	urban	Adjective	A3-037	עִירוֹנִי	connected with a city	The project studies urban life.	הפרויקט עוסק בחיים עירוניים.	connected with a city	עִירוֹנִי	FALSE		single-entry
A	vary	Verb	A2-046	הִשְׁתַּנָּה; הִתְגַּוֵּן	be different or change	Prices vary from shop to shop.	המחירים משתנים מחנות לחנות.	be different or change	הִשְׁתַּנָּה; הִתְגַּוֵּן	FALSE		single-entry
A	view	Noun	A3-043	דעה; השקפה; נוף	an opinion; what can be seen	The room has a beautiful view of the sea.	מהחדר נשקף נוף יפה של הים.	an opinion; what can be seen	דעה; השקפה; נוף	FALSE		single-entry
A	visible	Adjective	A3-045	נראה לעין; ניתן לראות	able to be seen	The mountains were clearly visible.	אפשר היה לראות את ההרים בבירור.	able to be seen	נראה לעין; ניתן לראות	FALSE		single-entry
A	vision	Noun	A1-035	רְאִיָּה; דְּמוּת; חָזוֹן	the ability to see; an idea for the future	The leader shared her vision for the school.	המנהיגה הציגה את חזונה לבית הספר.	the ability to see; an idea for the future	רְאִיָּה; דְּמוּת; חָזוֹן	FALSE		single-entry
A	volume	Noun	A3-046	נפח; כרך; עוצמת קול	amount; level of sound; one book in a series	Please turn down the volume.	נא להנמיך את עוצמת הקול.	amount; level of sound; one book in a series	נפח; כרך; עוצמת קול	FALSE		single-entry
A	whom	Pronoun	A3-005	את מי; למי	used instead of ’who’ as the object of a verb or preposition	Whom did you invite to the meeting?	את מי הזמנתם לפגישה?	used instead of ’who’ as the object of a verb or preposition	את מי; למי	FALSE		single-entry
A	wildlife	Noun	A1-009	חַיּוֹת בַּר; צמחיית בר; טֶבַע	animals and plants living in nature	The park protects local wildlife.	הפארק מגן על חיות הבר המקומיות.	animals and plants living in nature	חַיּוֹת בַּר; צמחיית בר; טֶבַע	FALSE		single-entry
A	within	Adverb	A1-057	בפנים; בתוך הגבול	inside a place or before a limit is reached	The sound came from within.	הקול הגיע מבפנים.	inside a place or before a limit is reached	בפנים; בתוך הגבול	TRUE	A3-011	record-specific
A	within	Preposition	A3-011	בתוך; תוך	inside a place, time or limit	Please reply within three days.	נא להשיב בתוך שלושה ימים.	inside a place, time or limit	בתוך; תוך	TRUE	A1-057	record-specific
A	worthwhile	Adjective	A1-078	כְּדָאִי; מִשְׁתַּלֵּם	valuable enough to be worth the time or effort	The course was difficult but worthwhile.	הקורס היה קשה אך כדאי.	valuable enough to be worth the time or effort	כְּדָאִי; מִשְׁתַּלֵּם	FALSE		single-entry
A	would	Verb	A3-071	היה; היה רוצה; פועל עזר	used for the past form of ’will’ or to speak politely	She said she would call later.	היא אמרה שהיא תתקשר מאוחר יותר.	used for the past form of ’will’ or to speak politely	היה; היה רוצה; פועל עזר	FALSE		single-entry
B	above	Adjective	B1-012	הנזכר לעיל; שלמעלה	written or mentioned earlier on the page	Read the above instructions carefully.	קראו בעיון את ההוראות שלעיל.	written or mentioned earlier on the page	הנזכר לעיל; שלמעלה	FALSE		single-entry
B	account	Noun	B3-071	חֶשְׁבּוֹן; דִּין וְחֶשְׁבּוֹן; דו"ח	a written or spoken report; a bank arrangement	The witness gave a clear account of what happened.	העד מסר תיאור ברור של מה שקרה.	a written or spoken report; a bank arrangement	חֶשְׁבּוֹן; דִּין וְחֶשְׁבּוֹן; דו"ח	FALSE		single-entry
